type,center,touches,first_date,last_date,score,score_final,distance_pct
resistance,71891.94,4,2024-03-27,2026-03-25,40,92,0.8022551599962833
support,65077.19,4,2024-06-14,2026-03-29,40,82,8.752949058328952
resistance,68642.46,3,2021-11-10,2026-02-21,30,79,3.7539567338169078
support,25438.92,6,2023-06-06,2023-09-06,60,78,64.33118226000394
support,60108.04,4,2021-11-06,2026-02-06,40,72,15.720371640447276
resistance,64854.28,3,2021-04-14,2024-08-25,30,69,9.065499125801258
support,65667.29,3,2026-02-19,2026-04-02,30,69,7.925548785504029
resistance,78137.37,3,2026-04-17,2026-05-26,30,69,9.559195485210694
resistance,70768.59,2,2024-05-27,2026-02-15,20,66,0.7728339714693916
resistance,69970.54,2,2024-07-29,2026-02-25,20,66,1.891808361789577
resistance,73663.64,2,2024-03-14,2024-10-29,20,66,3.2864189684421965
support,74345.96,2,2025-04-07,2026-05-23,20,66,4.243124194935867
resistance,69346.55,2,2024-10-21,2026-04-01,20,66,2.766727013272415
resistance,9957.76,5,2018-03-12,2020-06-11,50,65,86.03786927516485
resistance,12038.55,5,2018-01-28,2020-09-01,50,65,83.12031934516757
support,46461.68,4,2021-02-15,2021-09-01,40,62,34.854420084892745
resistance,63806.56,3,2021-10-25,2024-07-01,30,59,10.534544734755913
support,59741.79,3,2021-11-01,2024-10-03,30,59,16.233903838247873
resistance,67082.18,2,2021-10-20,2024-04-22,20,56,5.94168101391062
resistance,66381.13,2,2021-11-15,2024-09-27,20,56,6.924648241946395
resistance,64343.25,2,2021-11-02,2024-10-07,20,56,9.782032529329008
support,66718.54,2,2024-05-31,2024-11-04,20,56,6.451553637550781
resistance,74051.8,1,2026-03-04,2026-03-04,10,53,3.830671959290747
resistance,72715.36,1,2024-04-08,2024-04-08,10,53,1.9568017328644511
support,68507.26,1,2024-06-07,2024-06-07,10,53,3.9435254795988786
support,73775.57,1,2026-04-20,2026-04-20,10,53,3.4433600166328446
support,28703.22,4,2021-01-04,2023-08-07,40,52,59.7541907152108
support,6296.28,4,2018-06-13,2018-11-04,40,52,91.1717610747633
resistance,6809.72,4,2018-06-19,2018-09-28,40,52,90.45184852421384
support,8992.86,4,2019-10-31,2020-07-05,40,52,87.39079000597113
support,53614.06,3,2021-03-16,2024-07-05,30,49,24.82581279231928
resistance,94802.36,3,2025-03-02,2026-01-05,30,49,32.925772798589456
resistance,90413.46,3,2025-12-22,2026-01-28,30,49,26.771939452713582
support,91078.18,3,2024-11-26,2025-02-03,30,49,27.703967090998926
resistance,52872.96,3,2021-09-07,2024-02-20,30,49,25.864935554885893
resistance,99679.35,3,2024-11-22,2025-02-21,30,49,39.763974555180674
resistance,59443.66,2,2021-05-10,2021-11-25,20,46,16.65192255259679
resistance,59043.36,2,2021-05-03,2021-11-30,20,46,17.213197470766293
resistance,62715.45,2,2021-10-15,2024-08-08,20,46,12.064429011458191
support,60863.45,2,2024-03-20,2024-04-13,20,46,14.661184316104487
resistance,79478.09,2,2026-04-22,2026-04-27,20,46,11.439066852405825
resistance,82611.19,2,2026-05-06,2026-05-10,20,46,15.832098194191635
support,62443.55,2,2021-11-12,2026-02-24,20,46,12.445669706562573
support,81354.62,2,2025-03-04,2025-03-18,20,46,14.070216545617436
support,67372.88,1,2026-03-22,2026-03-22,10,43,5.53408016776553
support,64559.9,1,2024-04-03,2024-04-03,10,43,9.478259831298976
support,74958.57,1,2026-04-29,2026-04-29,10,43,5.102086542224943
support,76624.25,1,2025-03-11,2025-03-11,10,43,7.437595924429706
support,78248.91,1,2025-02-28,2025-02-28,10,43,9.715589700480818
support,76029.23,1,2026-05-18,2026-05-18,10,43,6.60329714399199
resistance,65494.9,1,2024-05-06,2024-05-06,10,43,8.167262957732946
resistance,75988.4,1,2026-03-17,2026-03-17,10,43,6.546047943620116
support,9410.33,3,2018-01-17,2019-08-29,30,39,86.8054404179416
support,6540.81,3,2018-04-01,2020-04-16,30,39,90.82889683359421
resistance,9151.54,3,2018-02-10,2020-03-06,30,39,87.16829911410218
support,9106.59,3,2020-02-04,2020-07-16,30,39,87.23132511353192
resistance,4100.15,3,2017-09-19,2019-03-21,30,39,94.25103333566658
resistance,9529.89,3,2018-04-29,2020-01-30,30,39,86.63780107440839
support,6448.79,3,2018-10-03,2018-10-25,30,39,90.9579213601242
resistance,10186.19,3,2019-07-27,2020-06-01,30,39,85.71757941866358
resistance,16967.91,3,2017-12-27,2022-12-27,30,39,76.20868774229972
support,3546.06,3,2017-09-22,2019-01-22,30,39,95.02794270216305
support,9254.25,3,2019-07-28,2020-06-20,30,39,87.02428575700704
support,16385.88,3,2020-11-26,2022-12-30,30,39,77.02477278007687
support,11201.55,3,2020-08-11,2020-10-16,30,39,84.29390692075556
resistance,24191.23,3,2020-12-20,2023-02-02,30,39,66.08061294361849
support,7901.19,3,2019-09-26,2019-10-18,30,39,88.92145947866184
support,25926.83,3,2023-05-12,2023-09-25,30,39,63.64706623371346
resistance,25132.19,3,2022-08-15,2023-02-21,30,39,64.76125934131828
support,18715.03,3,2022-06-30,2022-10-21,30,39,73.75898842920382
resistance,31385.93,3,2022-05-15,2023-07-06,30,39,55.99266726848959
resistance,29978.62,3,2023-04-26,2023-08-02,30,39,57.96590685152512
support,29367.93,3,2021-01-27,2022-06-03,30,39,58.82217709828237
support,28927.1,3,2021-01-22,2023-07-24,30,39,59.44028057611565
resistance,110615.7,3,2025-05-27,2025-07-03,30,39,55.09822124846819
resistance,27443.49,3,2023-05-23,2023-09-19,30,39,61.52050311257692
resistance,7758.25,3,2017-11-08,2019-12-05,30,39,89.12188075471268
resistance,10930.38,3,2019-08-20,2020-09-28,30,39,84.67412405680359
support,45857.4,2,2021-12-13,2021-12-31,20,36,35.701702641853686
support,52899.29,2,2021-04-18,2021-05-05,20,36,25.828017322071993
support,43263.41,2,2021-02-28,2021-09-07,20,36,39.33882860983394
resistance,48092.76,2,2021-08-14,2022-03-28,20,36,32.56742459768838
resistance,48880.58,2,2021-09-18,2024-01-11,20,36,31.462794055514276
resistance,44323.19,2,2022-01-13,2023-12-22,20,36,37.85287324441383
resistance,45079.04,2,2021-09-24,2022-03-02,20,36,36.79306898036583
resistance,97883.25,2,2025-05-02,2026-01-14,20,36,37.2455986358096
resistance,43821.86,2,2023-12-28,2024-01-30,20,36,38.555805931713145
support,93394.35,2,2025-02-18,2025-05-06,20,36,30.95155172056839
resistance,93201.72,2,2024-11-13,2025-11-28,20,36,30.681458321899903
