type,center,touches,first_date,last_date,score
support,25438.92,6,2023-06-06,2023-09-06,60
resistance,12038.55,5,2018-01-28,2020-09-01,50
resistance,9957.76,5,2018-03-12,2020-06-11,50
support,6296.28,4,2018-06-13,2018-11-04,40
resistance,6809.72,4,2018-06-19,2018-09-28,40
support,8992.86,4,2019-10-31,2020-07-05,40
support,28703.22,4,2021-01-04,2023-08-07,40
support,46461.68,4,2021-02-15,2021-09-01,40
support,60108.04,4,2021-11-06,2026-02-06,40
resistance,71891.94,4,2024-03-27,2026-03-25,40
support,65077.19,4,2024-06-14,2026-03-29,40
resistance,4100.15,3,2017-09-19,2019-03-21,30
support,3546.06,3,2017-09-22,2019-01-22,30
resistance,7758.25,3,2017-11-08,2019-12-05,30
resistance,16967.91,3,2017-12-27,2022-12-27,30
support,9410.33,3,2018-01-17,2019-08-29,30
resistance,9151.54,3,2018-02-10,2020-03-06,30
support,6540.81,3,2018-04-01,2020-04-16,30
resistance,9529.89,3,2018-04-29,2020-01-30,30
support,6448.79,3,2018-10-03,2018-10-25,30
resistance,10186.19,3,2019-07-27,2020-06-01,30
support,9254.25,3,2019-07-28,2020-06-20,30
resistance,10930.38,3,2019-08-20,2020-09-28,30
support,7901.19,3,2019-09-26,2019-10-18,30
support,9106.59,3,2020-02-04,2020-07-16,30
support,11201.55,3,2020-08-11,2020-10-16,30
support,16385.88,3,2020-11-26,2022-12-30,30
resistance,24191.23,3,2020-12-20,2023-02-02,30
support,28927.1,3,2021-01-22,2023-07-24,30
support,29367.93,3,2021-01-27,2022-06-03,30
support,53614.06,3,2021-03-16,2024-07-05,30
resistance,64854.28,3,2021-04-14,2024-08-25,30
resistance,52872.96,3,2021-09-07,2024-02-20,30
resistance,63806.56,3,2021-10-25,2024-07-01,30
support,59741.79,3,2021-11-01,2024-10-03,30
resistance,68642.46,3,2021-11-10,2026-02-21,30
resistance,31385.93,3,2022-05-15,2023-07-06,30
support,18715.03,3,2022-06-30,2022-10-21,30
resistance,25132.19,3,2022-08-15,2023-02-21,30
resistance,29978.62,3,2023-04-26,2023-08-02,30
support,25926.83,3,2023-05-12,2023-09-25,30
resistance,27443.49,3,2023-05-23,2023-09-19,30
resistance,99679.35,3,2024-11-22,2025-02-21,30
support,91078.18,3,2024-11-26,2025-02-03,30
resistance,94802.36,3,2025-03-02,2026-01-05,30
resistance,110615.7,3,2025-05-27,2025-07-03,30
