type,center,touches,first_date,last_date,score,score_final,distance_pct
support,65077.19,4,2024-06-14,2026-03-29,40,92,0.3042987150690264
support,60108.04,4,2021-11-06,2026-02-06,40,82,7.354715233750604
resistance,64854.28,3,2021-04-14,2024-08-25,30,79,0.03927529644831764
resistance,63806.56,3,2021-10-25,2024-07-01,30,79,1.6541394270254406
support,65667.29,3,2026-02-19,2026-04-02,30,79,1.213827332880603
support,25438.92,6,2023-06-06,2023-09-06,60,78,60.790669808134865
resistance,71891.94,4,2024-03-27,2026-03-25,40,72,10.807959362809298
resistance,68642.46,3,2021-11-10,2026-02-21,30,69,5.79949460597757
support,59741.79,3,2021-11-01,2024-10-03,30,69,7.919221006117144
resistance,64343.25,2,2021-11-02,2024-10-07,20,66,0.8269323199362957
support,62443.55,2,2021-11-12,2026-02-24,20,66,3.75496403533483
resistance,62715.45,2,2021-10-15,2024-08-08,20,66,3.335881115180676
resistance,67082.18,2,2021-10-20,2024-04-22,20,66,3.394615243498193
support,66718.54,2,2024-05-31,2024-11-04,20,66,2.8341322972500893
resistance,66381.13,2,2021-11-15,2024-09-27,20,66,2.314077982835925
resistance,9957.76,5,2018-03-12,2020-06-11,50,65,84.65197815743171
resistance,12038.55,5,2018-01-28,2020-09-01,50,65,81.44483012717214
support,46461.68,4,2021-02-15,2021-09-01,40,62,28.38802306116862
support,53614.06,3,2021-03-16,2024-07-05,30,59,17.36396901022258
resistance,52872.96,3,2021-09-07,2024-02-20,30,59,18.50623584408153
support,60863.45,2,2024-03-20,2024-04-13,20,56,6.190392215311272
resistance,59443.66,2,2021-05-10,2021-11-25,20,56,8.378732558105225
resistance,70768.59,2,2024-05-27,2026-02-15,20,56,9.076525753558906
resistance,59043.36,2,2021-05-03,2021-11-30,20,56,8.995720027534105
resistance,69346.55,2,2024-10-21,2026-04-01,20,56,6.884717457214578
resistance,69970.54,2,2024-07-29,2026-02-25,20,56,7.846481162058243
support,64559.9,1,2024-04-03,2024-04-03,10,53,0.4930069258524415
support,63473.47,1,2024-07-25,2024-07-25,10,53,2.1675352706228974
resistance,65494.9,1,2024-05-06,2024-05-06,10,53,0.9481204384143552
resistance,61683.86,1,2021-03-13,2021-03-13,10,53,4.925883872083328
support,67372.88,1,2026-03-22,2026-03-22,10,53,3.8426748422066157
support,63062.22,1,2026-02-28,2026-02-28,10,53,2.80140011399693
support,8992.86,4,2019-10-31,2020-07-05,40,52,86.13919077110128
support,6296.28,4,2018-06-13,2018-11-04,40,52,90.29546374215428
support,28703.22,4,2021-01-04,2023-08-07,40,52,55.759362797251335
resistance,6809.72,4,2018-06-19,2018-09-28,40,52,89.50409215508569
resistance,78137.37,3,2026-04-17,2026-05-26,30,49,20.434119870416538
resistance,90413.46,3,2025-12-22,2026-01-28,30,49,39.35541315940263
support,74345.96,2,2025-04-07,2026-05-23,20,46,14.590371528005031
resistance,73663.64,2,2024-03-14,2024-10-29,20,46,13.538703054008739
support,52899.29,2,2021-04-18,2021-05-05,20,46,18.4656530809787
support,58895.21,1,2024-10-10,2024-10-10,10,43,9.224065502417664
resistance,59815.06,1,2024-09-03,2024-09-03,10,43,7.806289025390059
support,68507.26,1,2024-06-07,2024-06-07,10,43,5.591109130417262
resistance,60267.19,1,2021-04-02,2021-04-02,10,43,7.109415319287435
support,59323.91,1,2024-03-05,2024-03-05,10,43,8.56330475261961
support,58601.7,1,2024-06-24,2024-06-24,10,43,9.676456189782318
support,91078.18,3,2024-11-26,2025-02-03,30,39,40.37995453007151
resistance,99679.35,3,2024-11-22,2025-02-21,30,39,53.63704699179414
support,28927.1,3,2021-01-22,2023-07-24,30,39,55.41429371242561
resistance,110615.7,3,2025-05-27,2025-07-03,30,39,70.49338201874514
resistance,10186.19,3,2019-07-27,2020-06-01,30,39,84.2998960998708
support,9410.33,3,2018-01-17,2019-08-29,30,39,85.49573896280131
support,6540.81,3,2018-04-01,2020-04-16,30,39,89.91856655029957
resistance,9529.89,3,2018-04-29,2020-01-30,30,39,85.31145961769786
resistance,7758.25,3,2017-11-08,2019-12-05,30,39,88.04211083013597
resistance,16967.91,3,2017-12-27,2022-12-27,30,39,73.84714501025003
resistance,4100.15,3,2017-09-19,2019-03-21,30,39,93.6803867779695
resistance,9151.54,3,2018-02-10,2020-03-06,30,39,85.89461527360197
resistance,10930.38,3,2019-08-20,2020-09-28,30,39,83.15286660980267
support,9254.25,3,2019-07-28,2020-06-20,30,39,85.7363070473091
support,3546.06,3,2017-09-22,2019-01-22,30,39,94.53441272584821
support,7901.19,3,2019-09-26,2019-10-18,30,39,87.82179559436238
support,9106.59,3,2020-02-04,2020-07-16,30,39,85.96389727897501
support,11201.55,3,2020-08-11,2020-10-16,30,39,82.7349088479115
support,16385.88,3,2020-11-26,2022-12-30,30,39,74.74423523466093
resistance,24191.23,3,2020-12-20,2023-02-02,30,39,62.713750237142406
resistance,25132.19,3,2022-08-15,2023-02-21,30,39,61.263436649248824
resistance,27443.49,3,2023-05-23,2023-09-19,30,39,57.70100063103508
resistance,31385.93,3,2022-05-15,2023-07-06,30,39,51.62446783319553
support,29367.93,3,2021-01-27,2022-06-03,30,39,54.734836839709324
support,25926.83,3,2023-05-12,2023-09-25,30,39,60.03864793401784
resistance,29978.62,3,2023-04-26,2023-08-02,30,39,53.79357259363009
support,18715.03,3,2022-06-30,2022-10-21,30,39,71.15428678494756
resistance,94802.36,3,2025-03-02,2026-01-05,30,39,46.120080420397855
support,6448.79,3,2018-10-03,2018-10-25,30,39,90.06039814394644
support,43263.41,2,2021-02-28,2021-09-07,20,36,33.31755719519382
resistance,79478.09,2,2026-04-22,2026-04-27,20,36,22.50058861888689
resistance,48880.58,2,2021-09-18,2024-01-11,20,36,24.659741797612515
resistance,48092.76,2,2021-08-14,2022-03-28,20,36,25.87401876030414
support,39792.09,2,2021-09-21,2022-01-10,20,36,38.66794675896561
resistance,40747.98,2,2021-05-26,2022-04-26,20,36,37.19462137262444
resistance,42503.68,2,2021-08-01,2022-03-09,20,36,34.488538684449885
resistance,39934.68,2,2021-01-14,2022-05-04,20,36,38.4481709826332
resistance,43821.86,2,2023-12-28,2024-01-30,20,36,32.45681112399084
resistance,44686.37,2,2022-02-15,2023-12-08,20,36,31.124330891175557
support,40821.6,2,2021-09-29,2024-01-03,20,36,37.081149932456185
support,45857.4,2,2021-12-13,2021-12-31,20,36,29.319407492911015
resistance,45079.04,2,2021-09-24,2022-03-02,20,36,30.51910363756417
resistance,43489.65,2,2022-01-20,2024-01-16,20,36,32.96885061242193
resistance,44323.19,2,2022-01-13,2023-12-22,20,36,31.68410483358669
resistance,88612.84,2,2025-03-24,2025-04-02,20,36,36.58009470523568
resistance,82611.19,2,2026-05-06,2026-05-10,20,36,27.329675404966363
support,89246.99,2,2025-01-13,2026-01-08,20,36,37.55751814700018
support,81354.62,2,2025-03-04,2025-03-18,20,36,25.392908119280015
support,86207.75,2,2025-12-24,2026-01-25,20,36,32.873098969915446
resistance,52535.14,1,2021-03-03,2021-03-03,10,33,19.026922096698225
support,57501.34,1,2024-09-16,2024-09-16,10,33,11.372455020311316
support,52598.7,1,2024-09-06,2024-09-06,10,33,18.928956262181867
support,76029.23,1,2026-05-18,2026-05-18,10,33,17.18481693811129
resistance,75988.4,1,2026-03-17,2026-03-17,10,33,17.121885141017156
support,74958.57,1,2026-04-29,2026-04-29,10,33,15.534595094447257
support,73775.57,1,2026-04-20,2026-04-20,10,33,13.711222183294721
resistance,58330.57,1,2021-02-21,2021-02-21,10,33,10.094352299165903
resistance,51956.33,1,2021-12-27,2021-12-27,10,33,19.919049294250378
support,55604.02,1,2021-04-07,2021-04-07,10,33,14.296818411509902
resistance,74051.8,1,2026-03-04,2026-03-04,10,33,14.136978987392487
support,58206.92,1,2021-10-28,2021-10-28,10,33,10.284935613167606
support,56555.29,1,2024-05-01,2024-05-01,10,33,12.830613889792167
resistance,72715.36,1,2024-04-08,2024-04-08,10,33,12.077107057231288
support,56161.59,1,2024-08-15,2024-08-15,10,33,13.437428695473287
support,76624.25,1,2025-03-11,2025-03-11,10,33,18.10192881435304
resistance,11701.28,2,2018-03-05,2020-10-12,20,26,81.96466865780985
resistance,13116.26,2,2018-01-20,2019-07-10,20,26,79.78374202905026
resistance,11930.42,2,2018-02-20,2020-08-06,20,26,81.6114922682397
support,9841.58,2,2019-08-22,2019-09-19,20,26,84.83104786564618
support,7180.43,2,2019-12-04,2019-12-27,20,26,88.93271212812596
resistance,2767.86,2,2017-05-25,2017-06-21,20,26,95.73386226047113
support,4001.63,2,2017-09-05,2019-03-21,20,26,93.83223690409525
resistance,4477.47,2,2017-08-17,2017-10-02,20,26,93.09881867413513
resistance,2899.07,2,2017-07-20,2017-07-28,20,26,95.53162662254017
resistance,2918.74,2,2017-07-07,2017-08-01,20,26,95.50130900194645
resistance,2998.58,2,2017-06-06,2017-06-12,20,26,95.37825059685227
resistance,18335.97,2,2017-12-08,2022-12-14,20,26,71.73853677286091
support,9182.59,2,2017-11-30,2019-07-17,20,26,85.84675751460681
support,22816.54,2,2022-08-10,2023-02-25,20,26,64.83257737765996
support,20816.77,2,2022-07-26,2022-08-20,20,26,67.91484825385227
resistance,20373.42,2,2022-09-27,2022-10-06,20,26,68.59818923454498
support,18305.07,2,2022-09-21,2022-10-13,20,26,71.78616333495272
resistance,17239.02,2,2022-12-01,2022-12-09,20,26,73.42927972712022
support,19614.52,2,2022-08-29,2023-03-10,20,26,69.76789143426912
resistance,97883.25,2,2025-05-02,2026-01-14,20,26,50.86869527098173
support,8492.12,2,2018-03-09,2020-03-01,20,26,86.91098768701887
resistance,8383.94,2,2018-04-16,2020-01-08,20,26,87.0777268937209
resistance,7522.44,2,2018-04-03,2019-12-29,20,26,88.4055677753421
support,8723.38,2,2018-04-26,2020-05-25,20,26,86.55454371454793
support,5831.08,2,2018-06-24,2018-06-29,20,26,91.01248240510284
resistance,6606.73,2,2018-08-18,2018-09-14,20,26,89.81696321783704
resistance,6889.21,2,2018-07-08,2020-03-25,20,26,89.38157320943266
support,31170.89,2,2021-05-23,2021-06-08,20,26,51.95591171385
resistance,35928.71,2,2021-07-04,2023-11-02,20,26,44.62262337560845
resistance,38410.8,2,2021-01-29,2023-11-24,20,26,40.79694656323093
support,30615.55,2,2021-01-11,2021-05-19,20,26,52.81186430259002
resistance,19867.56,2,2020-12-01,2022-10-14,20,26,69.37787767143055
resistance,9445.49,2,2020-04-30,2020-07-08,20,26,85.44154640865413
resistance,21794.32,2,2022-06-26,2022-08-26,20,26,66.40813803466618
resistance,31753.9,2,2022-06-06,2023-07-13,20,26,51.05731100300381
resistance,3955.87,2,2018-12-29,2019-01-02,20,26,93.90276737274642
support,3395.92,2,2019-01-29,2019-02-08,20,26,94.76582541298299
support,6202.93,2,2018-09-08,2018-09-19,20,26,90.4393452816776
resistance,6549.65,2,2018-11-01,2018-11-07,20,26,89.90494134612831
resistance,8308.76,2,2019-05-16,2019-10-21,20,26,87.19360278168408
support,7548.84,2,2019-05-23,2019-06-04,20,26,88.36487712035105
support,7397.5,2,2018-03-18,2018-06-05,20,26,88.59813938271269
resistance,23900.26,2,2023-01-29,2023-03-01,20,26,63.16222599027685
resistance,28463.25,2,2023-05-29,2023-10-02,20,26,56.12923160324396
resistance,28771.29,2,2023-03-22,2023-04-05,20,26,55.65444564250733
support,26582.5,2,2023-03-27,2023-10-12,20,26,59.028055443184904
support,27246.14,2,2023-04-03,2023-10-06,20,26,58.00517869022017
resistance,37945.58,2,2023-11-09,2023-11-15,20,26,41.513996052433285
support,29578.35,2,2023-06-30,2023-07-18,20,26,54.410513823678286
support,34502.52,2,2022-02-24,2023-11-07,20,26,46.82082811961237
support,26382.8,2,2022-05-12,2023-05-18,20,26,59.33585558718926
support,38609.04,2,2022-04-18,2024-01-23,20,26,40.491396735752595
support,100625.64,2,2025-05-12,2025-06-05,20,26,55.09557577632037
resistance,117644.59,2,2025-08-22,2025-09-18,20,26,81.32709936571972
resistance,116521.35,2,2025-09-12,2025-10-27,20,26,79.59583530086515
resistance,120044.88,2,2025-07-22,2025-07-28,20,26,85.02669680013251
support,107385.37,2,2025-07-08,2025-09-01,20,26,65.5144333999088
support,102979.07,2,2025-05-31,2025-06-13,20,26,58.72294729812402
support,114610.44,2,2025-07-25,2025-09-15,20,26,76.65052547022229
support,93394.35,2,2025-02-18,2025-05-06,20,26,43.94989674108098
support,92086.98,2,2024-12-05,2024-12-20,20,26,41.9348307707906
resistance,109015.13,2,2025-01-20,2025-06-16,20,26,68.02640316802375
resistance,106616.17,2,2025-01-30,2025-06-03,20,26,64.32885567948739
resistance,98756.32,2,2024-11-29,2025-02-14,20,26,52.21436914041534
support,94211.23,2,2024-12-10,2025-02-12,20,26,45.20896425051653
resistance,93201.72,2,2024-11-13,2025-11-28,20,26,43.652993677788224
support,106530.03,2,2025-05-25,2025-10-30,20,26,64.19608700445217
resistance,86429.35,1,2025-04-15,2025-04-15,10,23,33.21465386181013
resistance,87443.27,1,2025-03-20,2025-03-20,10,23,34.777421623497176
resistance,85263.29,1,2025-03-14,2025-03-14,10,23,31.417390787610174
support,78248.91,1,2025-02-28,2025-02-28,10,23,20.60603788775379
resistance,42893.58,1,2022-04-21,2022-04-21,10,23,33.887580866987186
support,39373.06,1,2022-04-11,2022-04-11,10,23,39.31380301506049
support,44403.14,1,2022-04-01,2022-04-01,10,23,31.560876884096718
resistance,45661.17,1,2022-02-10,2022-02-10,10,23,29.621859281884362
resistance,41295.27,1,2021-06-15,2021-06-15,10,23,36.35107635103132
support,40234.58,1,2023-12-11,2023-12-11,10,23,37.98593130718548
support,40530.26,1,2023-12-18,2023-12-18,10,23,37.530195971285586
resistance,39478.95,1,2021-06-03,2021-06-03,10,23,39.15059341441642
support,41424.06,1,2023-12-29,2023-12-29,10,23,36.152570689807874
support,50856.57,1,2021-03-25,2021-03-25,10,23,21.614123337165942
resistance,45899.71,1,2024-01-02,2024-01-02,10,23,29.25419455303708
