Date,Open,High,Low,Close
2017-01-31,963.6580200195312,1191.0999755859375,755.7559814453125,970.4030151367188
2017-02-28,970.9409790039062,1200.3900146484375,946.6909790039062,1179.969970703125
2017-03-31,1180.0400390625,1280.31005859375,903.7130126953124,1071.7900390625
2017-04-30,1071.7099609375,1347.9100341796875,1061.0899658203125,1347.8900146484375
2017-05-31,1348.300048828125,2763.7099609375,1348.300048828125,2286.409912109375
2017-06-30,2288.330078125,2999.909912109375,2212.9599609375,2480.840087890625
2017-07-31,2492.60009765625,2916.139892578125,1843.030029296875,2875.340087890625
2017-08-31,2871.300048828125,4736.0498046875,2668.590087890625,4703.39013671875
2017-09-30,4701.759765625,4975.0400390625,2946.6201171875,4338.7099609375
2017-10-31,4341.0498046875,6470.43017578125,4164.0498046875,6468.39990234375
2017-11-30,6440.97021484375,11517.400390625,5519.009765625,10233.599609375
2017-12-31,10198.599609375,20089.0,9694.650390625,14156.400390625
2018-01-31,14112.2001953125,17712.400390625,9402.2900390625,10221.099609375
2018-02-28,10237.2998046875,11958.5,6048.259765625,10397.900390625
2018-03-31,10385.0,11704.099609375,6683.93017578125,6973.52978515625
2018-04-30,7003.06005859375,9745.3203125,6526.8701171875,9240.5498046875
2018-05-31,9251.4697265625,9964.5,7090.68017578125,7494.169921875
2018-06-30,7500.7001953125,7754.89013671875,5826.41015625,6404.0
2018-07-31,6411.68017578125,8424.26953125,6136.419921875,7780.43994140625
2018-08-31,7769.0400390625,7769.0400390625,5971.0498046875,7037.580078125
2018-09-30,7044.81005859375,7388.43017578125,6197.52001953125,6625.56005859375
2018-10-31,6619.85009765625,6965.06005859375,6236.47021484375,6317.60986328125
2018-11-30,6318.14013671875,6552.16015625,3585.06005859375,4017.2685546875
2018-12-31,4024.46435546875,4309.37744140625,3191.303466796875,3742.700439453125
2019-01-31,3746.71337890625,4109.02099609375,3400.81982421875,3457.792724609375
2019-02-28,3460.547119140625,4210.6416015625,3391.023681640625,3854.785400390625
2019-03-31,3853.757080078125,4296.806640625,3733.749755859375,4105.404296875
2019-04-30,4105.3623046875,5642.04443359375,4096.9013671875,5350.7265625
2019-05-31,5350.91455078125,9008.314453125,5347.64599609375,8574.501953125
2019-06-30,8573.83984375,13796.4892578125,7564.48876953125,10817.1552734375
2019-07-31,10796.9306640625,13129.529296875,9163.134765625,10085.6279296875
2019-08-31,10077.4423828125,12273.8212890625,9421.6298828125,9630.6640625
2019-09-30,9630.5927734375,10898.76171875,7830.7587890625,8293.8681640625
2019-10-31,8299.720703125,10021.744140625,7446.98876953125,9199.5849609375
2019-11-30,9193.9921875,9505.0517578125,6617.1669921875,7569.6298828125
2019-12-31,7571.6162109375,7743.431640625,6540.04931640625,7193.59912109375
2020-01-31,7194.89208984375,9553.1259765625,6914.99609375,9350.529296875
2020-02-29,9346.357421875,10457.626953125,8492.9326171875,8599.5087890625
2020-03-31,8599.7587890625,9167.6953125,4106.98095703125,6438.64453125
2020-04-30,6437.3193359375,9440.650390625,6202.37353515625,8658.5537109375
2020-05-31,8672.7822265625,9996.7431640625,8374.3232421875,9461.05859375
2020-06-30,9463.60546875,10199.5654296875,8975.525390625,9137.9931640625
2020-07-31,9145.9853515625,11415.8642578125,8977.015625,11323.466796875
2020-08-31,11322.5703125,12359.056640625,11012.4150390625,11680.8203125
2020-09-30,11679.31640625,12067.0810546875,9916.4931640625,10784.4912109375
2020-10-31,10795.2548828125,14028.2138671875,10416.689453125,13780.9951171875
2020-11-30,13780.9951171875,19749.263671875,13243.16015625,19625.8359375
2020-12-31,19633.76953125,29244.876953125,17619.533203125,29001.720703125
2021-01-31,28994.009765625,41946.73828125,28722.755859375,33114.359375
2021-02-28,33114.578125,58330.5703125,32384.228515625,45137.76953125
2021-03-31,45159.50390625,61683.86328125,45115.09375,58918.83203125
2021-04-30,58926.5625,64863.09765625,47159.484375,57750.17578125
2021-05-31,57714.6640625,59519.35546875,30681.49609375,37332.85546875
2021-06-30,37293.79296875,41295.26953125,28893.62109375,35040.8359375
2021-07-31,35035.984375,42235.546875,29360.955078125,41626.1953125
2021-08-31,41460.84375,50482.078125,37458.00390625,47166.6875
2021-09-30,47099.7734375,52853.765625,39787.609375,43790.89453125
2021-10-31,43816.7421875,66930.390625,43320.0234375,61318.95703125
2021-11-30,61320.44921875,68789.625,53569.765625,57005.42578125
2021-12-31,56907.96484375,59041.68359375,42874.6171875,46306.4453125
2022-01-31,46311.74609375,47881.40625,33184.05859375,38483.125
2022-02-28,38481.765625,45661.171875,34459.21875,43193.234375
2022-03-31,43194.50390625,48086.8359375,37260.203125,45538.67578125
2022-04-30,45554.1640625,47313.4765625,37697.94140625,37714.875
2022-05-31,37713.265625,39902.94921875,26350.490234375,31792.310546875
2022-06-30,31792.5546875,31957.28515625,17708.623046875,19784.7265625
2022-07-31,19820.470703125,24572.580078125,18966.951171875,23336.896484375
2022-08-31,23336.71875,25135.58984375,19600.78515625,20049.763671875
2022-09-30,20050.498046875,22673.8203125,18290.314453125,19431.7890625
2022-10-31,19431.10546875,20988.39453125,18319.822265625,20495.7734375
2022-11-30,20494.8984375,21446.88671875,15599.046875,17168.56640625
2022-12-31,17168.001953125,18318.53125,16398.13671875,16547.49609375
2023-01-31,16547.9140625,23919.890625,16521.234375,23139.283203125
2023-02-28,23137.8359375,25134.1171875,21460.087890625,23147.353515625
2023-03-31,23150.9296875,29159.90234375,19628.25390625,28478.484375
2023-04-30,28473.33203125,31005.607421875,27070.849609375,29268.806640625
2023-05-31,29227.103515625,29820.126953125,25878.4296875,27219.658203125
2023-06-30,27218.412109375,31389.5390625,24797.16796875,30477.251953125
2023-07-31,30471.84765625,31814.515625,28934.294921875,29230.111328125
2023-08-31,29230.873046875,30176.796875,25409.111328125,25931.47265625
2023-09-30,25934.021484375,27488.763671875,24930.296875,26967.916015625
2023-10-31,26967.396484375,35150.43359375,26558.3203125,34667.78125
2023-11-30,34657.2734375,38415.33984375,34133.44140625,37712.74609375
2023-12-31,37718.0078125,44705.515625,37629.359375,42265.1875
2024-01-31,42280.234375,48969.37109375,38521.89453125,42582.60546875
2024-02-29,42569.76171875,63913.1328125,41879.19140625,61198.3828125
2024-03-31,61168.0625,73750.0703125,59323.91015625,71333.6484375
2024-04-30,71333.484375,72715.359375,59120.06640625,60636.85546875
2024-05-31,60609.49609375,71946.4609375,56555.29296875,67491.4140625
2024-06-30,67489.609375,71907.8515625,58601.69921875,62678.29296875
2024-07-31,62673.60546875,69987.5390625,53717.375,64619.25
2024-08-31,64625.83984375,65593.2421875,49121.23828125,58969.8984375
2024-09-30,58969.80078125,66480.6953125,52598.69921875,63329.5
2024-10-31,63335.60546875,73577.2109375,58895.20703125,70215.1875
2024-11-30,70216.8984375,99655.5,66803.6484375,96449.0546875
2024-12-31,96461.3359375,108268.4453125,91317.1328125,93429.203125
2025-01-31,93425.1015625,109114.8828125,89260.1015625,102405.0234375
2025-02-28,102402.796875,102755.7265625,78248.9140625,84373.0078125
2025-03-31,84373.8671875,95043.4375,76624.25,82548.9140625
2025-04-30,82551.921875,95768.390625,74436.6796875,94207.3125
2025-05-31,94212.859375,111970.171875,93399.859375,104638.09375
2025-06-30,104637.296875,110561.421875,98286.203125,107135.3359375
2025-07-31,107144.3828125,123091.609375,105157.3984375,115758.203125
2025-08-31,115738.953125,124457.1171875,107444.4453125,108236.7109375
2025-09-30,108228.75,117911.7890625,107271.1796875,114056.0859375
2025-10-31,114057.59375,126198.0703125,103598.4296875,109556.1640625
2025-11-30,109558.625,111167.3125,80659.8125,90394.3125
2025-12-31,90389.109375,94601.5703125,83862.25,87508.828125
2026-01-31,87508.046875,97860.6015625,75815.8828125,78621.1171875
2026-02-28,78626.125,79322.609375,60074.203125,66995.859375
2026-03-31,67005.8828125,75988.3984375,64971.70703125,68233.3125
2026-04-30,68232.890625,79488.171875,65725.2578125,76304.3203125
2026-05-31,76305.0546875,82792.2109375,72435.625,73579.6875
2026-06-30,73580.2109375,73969.5703125,64860.80078125,64879.76171875
